circuitId,name,location,country,lat,lng,url
30,Kyalami,Midrand,South Africa,-25.9894,28.0767,http://en.wikipedia.org/wiki/Kyalami
31,Donington Park,Castle Donington,UK,52.8306,-1.37528,http://en.wikipedia.org/wiki/Donington_Park
32,Autódromo Hermanos Rodríguez,Mexico City,Mexico,19.4042,-99.0907,http://en.wikipedia.org/wiki/Aut%C3%B3dromo_Hermanos_Rodr%C3%ADguez
33,Phoenix Street Circuit,Phoenix,USA,33.4479,-112.075,http://en.wikipedia.org/wiki/Phoenix_street_circuit
34,Circuit Paul Ricard,Le Castellet,France,43.2506,5.79167,http://en.wikipedia.org/wiki/Paul_Ricard_Circuit
35,Korean International Circuit,Yeongam County,Korea,34.7333,126.417,http://en.wikipedia.org/wiki/Korean_International_Circuit
36,Autódromo Internacional Nelson Piquet,Rio de Janeiro,Brazil,-22.9756,-43.395,http://en.wikipedia.org/wiki/Aut%C3%B3dromo_Internacional_Nelson_Piquet
37,Detroit Street Circuit,Detroit,USA,42.3298,-83.0401,http://en.wikipedia.org/wiki/Detroit_street_circuit
38,Brands Hatch,Kent,UK,51.3569,0.263056,http://en.wikipedia.org/wiki/Brands_Hatch
39,Circuit Park Zandvoort,Zandvoort,Netherlands,52.3888,4.54092,http://en.wikipedia.org/wiki/Circuit_Zandvoort
40,Zolder,Heusden-Zolder,Belgium,50.9894,5.25694,http://en.wikipedia.org/wiki/Zolder
41,Dijon-Prenois,Dijon,France,47.3625,4.89913,http://en.wikipedia.org/wiki/Dijon-Prenois
42,Fair Park,Dallas,USA,32.7774,-96.7587,http://en.wikipedia.org/wiki/Fair_Park
43,Long Beach,California,USA,33.7651,-118.189,http://en.wikipedia.org/wiki/Long_Beach
44,Las Vegas Street Circuit,Nevada,USA,36.1162,-115.174,http://en.wikipedia.org/wiki/Las_Vegas
45,Jarama,Madrid,Spain,40.6171,-3.58558,http://en.wikipedia.org/wiki/Circuito_Permanente_Del_Jarama
46,Watkins Glen,New York State,USA,42.3369,-76.9272,http://en.wikipedia.org/wiki/Watkins_Glen_International
47,Scandinavian Raceway,Anderstorp,Sweden,57.2653,13.6042,http://en.wikipedia.org/wiki/Scandinavian_Raceway
48,Mosport International Raceway,Ontario,Canada,44.0481,-78.6756,http://en.wikipedia.org/wiki/Mosport
49,Montjuïc,Barcelona,Spain,41.3664,2.15167,http://en.wikipedia.org/wiki/Montju%C3%AFc_circuit
50,Nivelles-Baulers,Brussels,Belgium,50.6211,4.32694,http://en.wikipedia.org/wiki/Nivelles-Baulers
51,Charade Circuit,Clermont-Ferrand,France,45.7472,3.03889,http://en.wikipedia.org/wiki/Charade_Circuit
52,Circuit Mont-Tremblant,Quebec,Canada,46.1877,-74.6099,http://en.wikipedia.org/wiki/Circuit_Mont-Tremblant
53,Rouen-Les-Essarts,Rouen,France,49.3306,1.00458,http://en.wikipedia.org/wiki/Rouen-Les-Essarts
54,Le Mans,Le Mans,France,47.95,0.224231,http://en.wikipedia.org/wiki/Circuit_de_la_Sarthe#Bugatti_Circuit
55,Reims-Gueux,Reims,France,49.2542,3.93083,http://en.wikipedia.org/wiki/Reims-Gueux
56,Prince George Circuit,Eastern Cape Province,South Africa,-33.0486,27.8736,http://en.wikipedia.org/wiki/Prince_George_Circuit
57,Zeltweg,Styria,Austria,47.2039,14.7478,http://en.wikipedia.org/wiki/Zeltweg_Airfield
58,Aintree,Liverpool,UK,53.4769,-2.94056,http://en.wikipedia.org/wiki/Aintree_Motor_Racing_Circuit
59,Circuito da Boavista,Oporto,Portugal,41.1705,-8.67325,http://en.wikipedia.org/wiki/Circuito_da_Boavista
60,Riverside International Raceway,California,USA,33.937,-117.273,http://en.wikipedia.org/wiki/Riverside_International_Raceway
61,AVUS,Berlin,Germany,52.4806,13.2514,http://en.wikipedia.org/wiki/AVUS
62,Monsanto Park Circuit,Lisbon,Portugal,38.7197,-9.20306,http://en.wikipedia.org/wiki/Monsanto_Park_Circuit
63,Sebring International Raceway,Florida,USA,27.4547,-81.3483,http://en.wikipedia.org/wiki/Sebring_Raceway
64,Ain Diab,Casablanca,Morocco,33.5786,-7.6875,http://en.wikipedia.org/wiki/Ain-Diab_Circuit
65,Pescara Circuit,Pescara,Italy,42.475,14.1508,http://en.wikipedia.org/wiki/Pescara_Circuit
66,Circuit Bremgarten,Bern,Switzerland,46.9589,7.40194,http://en.wikipedia.org/wiki/Circuit_Bremgarten
67,Circuit de Pedralbes,Barcelona,Spain,41.3903,2.11667,http://en.wikipedia.org/wiki/Pedralbes_Circuit
68,Buddh International Circuit,Uttar Pradesh,India,28.3487,77.5331,http://en.wikipedia.org/wiki/Buddh_International_Circuit
69,Circuit of the Americas,Austin,USA,30.1328,-97.6411,http://en.wikipedia.org/wiki/Circuit_of_the_Americas
70,Red Bull Ring,Spielburg,Austria,47.2197,14.7647,http://en.wikipedia.org/wiki/Red_Bull_Ring
71,Sochi Autodrom,Sochi,Russia,43.4057,39.9578,http://en.wikipedia.org/wiki/Sochi_Autodrom
72,Port Imperial Street Circuit,New Jersey,USA,40.7769,-74.0111,http://en.wikipedia.org/wiki/Port_Imperial_Street_Circuit
73,Baku City Circuit,Baku,Azerbaijan,40.3725,49.8533,http://en.wikipedia.org/wiki/Baku_City_Circuit
